SURVEY_OPS,FRACTION_SUBSAMPLED,TOT_wgt_G_upscaled,TOT_No_upscaled,SPCODE,FAMILY,SCIENTIFIC_NAME,COMMON_NAME,OTU_NAME,T_FIELD,COUNT,AM_SPECIMEN,ANFC_SPECIMEN,WT_G,LENGTH_CODE,MAX_LENGTH_MM,MEASURED_COUNT,WEIGHT_MEASURED,RESTSAM_WT_G,CALCULATED_WT_G,CALCULATED_COUNTS,SITE_ID,GEAR,ON_BOTTOM_TIME,ON_BOTTOM_LATITUDE,ON_BOTTOM_LONGITUDE,ON_BOTTOM_DEPTH_M,OFF_BOTTOM_TIME,OFF_BOTTOM_LATITUDE,OFF_BOTTOM_LONGITUDE,OFF_BOTTOM_DEPTH_M,BOTTOM_DURATION_MINS,AFMA_UnitCode,AFMA_UnitCodeName,AFMA_CodeNote
IN2023_V05_068,1,1168,9,37445006,Centrolophidae,Seriolella punctata,Silver Warehou,,T,9,,,1168,FL,228,9,1168,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,TRS,Silver Warehou,
IN2023_V05_068,1,3394,4,37031005,Rajidae,Dentiraja confusa,Longnose Skate,,T,4,0,3,3394,TL,539,4,3394,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,4792,7,37038001,Urolophidae,Urolophus bucculentus,Sandyback Stingaree,,T,7,1,3,4792,TL,531,7,4792,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,4314,25,37038007,Urolophidae,Urolophus viridis,Greenback Stingaree,,T,25,0,0,4314,TL,386,25,4314,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,5472,2,37038014,Urolophidae,Trygonoptera imitata,Eastern Shovelnose Stingaree,,T,2,,,5472,TL,619,2,5472,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,628,3,37288001,Triglidae,Chelidonichthys kumu,Red Gurnard,,T,3,2,1,628,FL,304,3,628,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,1693,8,37028002,Narcinidae,Narcinops tasmaniensis,Tasmanian Numbfish,,T,8,0,0,1693,TL,346,8,1693,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,344,6,37337003,Carangidae,Trachurus novaezelandiae,Yellowtail Scad,,T,6,3,3,344,FL,183,6,344,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,324,2,37445005,Centrolophidae,Seriolella brama,Blue Warehou,,T,2,1,1,324,FL,215,2,324,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,TRT,Blue Warehou,
IN2023_V05_068,1,448,1,37296003,Platycephalidae,Platycephalus bassensis,Southern Sand Flathead,,T,1,1,,448,FL,368,1,448,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,FLT,Flathead,
IN2023_V05_068,1,166,1,37038002,Urolophidae,Urolophus cruciatus,Banded Stingaree,,T,1,0,0,166,TL,198,1,166,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,2288,38,37345001,Emmelichthyidae,Emmelichthys nitidus,Redbait,,T,38,2,0,2288,FL,207,38,2288,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,1564,26,37120001,Paraulopidae,Paraulopus nigripinnis,Blacktip Cucumberfish,,T,26,0,0,1564,SL,209,26,1564,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,48,1,37288006,Triglidae,Pterygotrigla polyommata,Latchet,,T,1,1,0,48,FL,156,1,48,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,LAT,Latchet,of interest but not Quota
IN2023_V05_068,1,477,1,37039001,Myliobatidae,Myliobatis tenuicaudatus,Southern Eagle Ray,,T,1,0,1,477,DW,318,1,477,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
IN2023_V05_068,1,892,1,37353001,Sparidae,Chrysophrys auratus,Snapper,,T,1,0,0,892,FL,349,1,892,,,,N11.2,McKenna semi V-wing fish trawl,6/07/2023 4:28,-38.949783,148.326128,81,6/07/2023 5:00,-38.927701,148.310857,85,32,,,
