SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME,choose,Species_size
37296001,N43.2,366,10082646,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,261,10082735,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.2,354,10082801,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,312,10082784,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,391,10082803,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,316,10082780,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_lg
37296001,N43.2,214,10082800,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37296001,N43.2,229,10082742,(null),Platycephalus richardsoni,Tiger Flathead,y,Platycephalus richardsoni_sm
37330014,N43.2,183,10082769,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,164,10082768,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,197,10082719,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,223,10082722,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,178,10082777,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,214,10082671,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,220,10082644,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,158,10082752,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,188,10082701,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
37330014,N43.2,165,10082672,(null),Sillago flindersi,Eastern School Whiting,y,Sillago flindersi
