"","TISSUE","Tube_no","SPCODE","SITE_ID","LENGTH_MM","SCIENTIFIC_NAME","COMMON_NAME","Species_size"
"314",10084664,314,37287001,"N21.3",250,"Helicolenus percoides","Reef Ocean Perch","Helicolenus percoides"
"315",10084967,315,37227001,"N21.1",575,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"316",10084965,316,37227001,"N21.1",327,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"317",10084937,317,37227001,"N21.1",635,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"318",10084964,318,37227001,"N21.1",331,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"319",10084907,319,37227001,"N21.1",905,"Macruronus novaezelandiae","Blue Grenadier","Macruronus novaezelandiae"
"320",10084690,320,NA,NA,NA,NA,NA,NA
"321",10084720,321,NA,NA,NA,NA,NA,NA
"322",10084657,322,NA,NA,NA,NA,NA,NA
"323",10085130,323,NA,NA,NA,NA,NA,NA
"324",10084969,324,37228002,"N21.1",839,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"325",10084958,325,37228002,"N21.1",608,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"326",10084934,326,37228002,"N21.1",898,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"327",10084939,327,37228002,"N21.1",796,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"328",10085167,328,37228002,"N21.1",545,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"329",10084963,329,37228002,"N21.1",850,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"330",10084913,330,37228002,"N21.1",883,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"331",10084943,331,37228002,"N21.1",1250,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"332",10085005,332,37228002,"N21.1",930,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"333",10084921,333,37228002,"N21.3",428,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"334",10085039,334,37445006,"N21.1",411,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"335",10085078,335,37445006,"N21.1",499,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"336",10084662,336,37439002,"N21.3",264,"Rexea solandri","Gemfish","Rexea solandri"
"337",10084729,337,37445006,"N21.3",218,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"338",10084699,338,37439002,"N21.3",269,"Rexea solandri","Gemfish","Rexea solandri"
"339",10084682,339,37296001,"N21.3",438,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"340",10084891,340,37296001,"N21.3",379,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"341",10085159,341,37439002,"N21.1",428,"Rexea solandri","Gemfish","Rexea solandri"
"342",10085137,342,37445006,"N21.1",358,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"343",10085021,343,37439002,"N21.1",407,"Rexea solandri","Gemfish","Rexea solandri"
"344",10084672,344,37439002,"N21.3",270,"Rexea solandri","Gemfish","Rexea solandri"
"345",10085069,345,37439002,"N21.1",424,"Rexea solandri","Gemfish","Rexea solandri"
"346",10084695,346,37439002,"N21.3",256,"Rexea solandri","Gemfish","Rexea solandri"
"347",10084950,347,37296001,"N21.3",493,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"348",10084639,348,37439002,"N21.3",258,"Rexea solandri","Gemfish","Rexea solandri"
"349",10084540,349,37296001,"N23.2",618,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"350",10084704,350,37296001,"N23.2",520,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"351",10083886,351,37228002,"N23.2",462,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"352",10084624,352,37228002,"N23.2",573,"Genypterus blacodes","Pink Ling","Genypterus blacodes"
"353",10084565,353,37296001,"N23.2",583,"Platycephalus richardsoni","Tiger Flathead","Platycephalus richardsoni_lg"
"354",10084329,354,37445006,"N23.3",235,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"355",10083858,355,37445006,"N23.2",308,"Seriolella punctata","Silver Warehou","Seriolella punctata"
"356",10084307,356,37445006,"N23.3",241,"Seriolella punctata","Silver Warehou","Seriolella punctata"
