SPCODE,SITE_ID,LENGTH_MM,TISSUE,BIOLOGICALS_COMMENTS,SCIENTIFIC_NAME,COMMON_NAME
37287001,N25.3,156,NA,whole fish,Helicolenus percoides,Reef Ocean Perch
37439002,N25.3,281,10084212,(null),Rexea solandri,Gemfish
37439002,N25.3,242,10084187,(null),Rexea solandri,Gemfish
37439002,N25.3,279,10084277,(null),Rexea solandri,Gemfish
37439002,N25.3,265,10084178,(null),Rexea solandri,Gemfish
37439002,N25.3,256,10084238,(null),Rexea solandri,Gemfish
37439002,N25.3,251,10084206,(null),Rexea solandri,Gemfish
37439002,N25.3,242,10083860,(null),Rexea solandri,Gemfish
37439002,N25.3,243,10083966,(null),Rexea solandri,Gemfish
37439002,N25.3,254,10083938,(null),Rexea solandri,Gemfish
37439002,N25.3,236,10084416,(null),Rexea solandri,Gemfish
37038004,N25.3,338,10084497,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,328,10084439,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,311,10084407,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,306,10084464,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,271,10084499,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,317,10084435,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,284,10084495,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,272,10083901,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,316,10083968,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37038004,N25.3,281,10084476,(null),Urolophus paucimaculatus,Sparsely-spotted Stingaree
37330014,N25.3,225,10083874,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,183,10084412,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,181,10084475,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,171,10084472,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,172,10084443,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,195,10084410,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,166,10084408,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,186,10084404,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,189,10084384,(null),Sillago flindersi,Eastern School Whiting
37330014,N25.3,197,10084409,(null),Sillago flindersi,Eastern School Whiting
37038002,N25.3,325,10083731,(null),Urolophus cruciatus,Banded Stingaree
37296001,N25.3,400,10084480,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,364,10084478,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,298,10084449,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,451,10084414,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,402,10083701,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,429,10084411,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,282,10084444,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,295,10084417,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,327,10084239,(null),Platycephalus richardsoni,Tiger Flathead
37296001,N25.3,459,10083830,(null),Platycephalus richardsoni,Tiger Flathead
37017001,N25.3,721,10071590,(null),Mustelus antarcticus,Gummy Shark
37445005,N25.3,190,NA,(null),Seriolella brama,Blue Warehou
37264004,N27.1,374,NA,(null),Zeus faber,John Dory
37264004,N27.1,379,NA,(null),Zeus faber,John Dory
37439002,N27.1,266,10083939,(null),Rexea solandri,Gemfish
37439002,N27.1,286,10083999,(null),Rexea solandri,Gemfish
37439002,N27.1,264,10083872,(null),Rexea solandri,Gemfish
37439002,N27.1,264,10083900,(null),Rexea solandri,Gemfish
37439002,N27.1,264,10083840,(null),Rexea solandri,Gemfish
37439002,N27.1,241,10083845,(null),Rexea solandri,Gemfish
37439002,N27.1,260,10084001,(null),Rexea solandri,Gemfish
37439002,N27.1,276,10084176,(null),Rexea solandri,Gemfish
37439002,N27.1,250,10083920,(null),Rexea solandri,Gemfish
37296001,N27.1,392,10084049,(null),Platycephalus richardsoni,Tiger Flathead
37445006,N27.1,227,10084031,(null),Seriolella punctata,Silver Warehou
37038007,N27.1,251,10083907,(null),Urolophus viridis,Greenback Stingaree
37038007,N27.1,196,10083932,(null),Urolophus viridis,Greenback Stingaree
37038007,N27.1,336,10083921,(null),Urolophus viridis,Greenback Stingaree
37038007,N27.1,353,10083893,(null),Urolophus viridis,Greenback Stingaree
37445006,N27.2,220,10083863,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,203,10084241,(null),Seriolella punctata,Silver Warehou
37445006,N27.2,200,10084170,(null),Seriolella punctata,Silver Warehou
